currentTick,NO_CHANGE,DIE,RECOVER,NO_INFECTIOUS,INFECT 
0,9995,0,0,4,1
1,9995,0,0,4,1
2,9995,0,0,4,1
3,9995,0,0,4,1
4,9990,0,0,5,5
5,9987,0,0,8,5
6,9987,0,0,8,5
7,9987,0,0,8,5
8,9981,0,0,9,10
9,9979,0,1,8,12
10,9975,0,1,12,12
11,9975,0,1,12,12
12,9968,0,1,13,18
13,9966,3,1,14,16
14,9964,3,1,12,20
15,9959,3,1,17,20
16,9951,3,1,18,27
17,9949,5,3,18,25
18,9947,5,6,18,24
19,9945,5,5,16,29
20,9930,5,2,26,37
21,9928,7,4,27,34
22,9926,7,6,27,34
23,9924,8,6,29,33
24,9912,8,4,25,51
25,9903,11,6,32,48
26,9901,12,6,34,47
27,9899,13,5,33,50
28,9886,15,6,34,59
29,9882,16,12,28,62
30,9872,16,13,36,63
31,9870,17,10,38,65
32,9856,18,8,41,77
33,9852,22,17,45,64
34,9848,23,17,40,72
35,9837,23,13,51,76
36,9822,25,10,54,89
37,9818,30,14,54,84
38,9814,33,18,55,80
39,9810,34,16,47,93
40,9784,35,12,59,110
41,9780,38,17,61,104
42,9776,39,12,66,107
43,9772,40,19,65,104
44,9753,41,17,58,131
45,9738,46,24,68,124
46,9734,49,18,71,128
47,9730,49,20,72,129
48,9710,51,30,71,138
49,9704,56,35,67,138
50,9688,58,35,74,145
51,9684,59,34,77,146
52,9663,61,29,85,162
53,9657,66,45,86,146
54,9651,69,40,82,158
55,9634,71,40,98,157
56,9612,73,26,107,182
57,9606,81,33,106,174
58,9600,85,40,103,172
59,9594,88,38,96,184
60,9557,88,35,103,217
61,9551,93,38,109,209
62,9545,94,41,112,208
63,9539,98,49,108,206
64,9513,98,42,104,243
65,9492,107,49,119,233
66,9486,112,47,121,234
67,9480,114,45,129,232
68,9453,119,52,127,249
69,9445,128,71,111,245
70,9423,135,67,126,249
71,9417,138,54,133,258
72,9389,141,50,140,280
73,9381,149,78,139,253
74,9373,153,78,130,266
75,9350,155,70,146,279
76,9321,159,60,148,312
77,9313,174,62,163,288
78,9305,181,76,161,277
79,9297,187,67,145,304
80,9249,193,66,161,331
81,9241,204,72,159,324
82,9233,208,72,160,327
83,9225,216,74,162,323
84,9192,222,75,152,359
85,9165,230,88,174,343
86,9157,233,82,180,348
87,9149,238,77,181,355
88,9115,246,91,183,365
89,9105,255,105,166,369
90,9077,263,103,192,365
91,9069,267,89,200,375
92,9034,276,81,206,403
93,9024,295,103,204,374
94,9014,302,105,181,398
95,8985,308,97,195,415
96,8949,315,89,200,447
97,8939,332,108,195,426
98,8929,345,122,199,405
99,8919,352,115,184,430
100,8860,358,109,207,466
101,8850,369,120,223,438
102,8840,380,112,230,438
103,8830,391,132,225,422
104,8790,399,134,204,473
105,8757,407,152,229,455
106,8747,414,138,237,464
107,8737,420,126,251,466
108,8696,431,135,256,482
109,8684,444,154,234,484
110,8650,450,137,257,506
111,8640,458,124,260,518
112,8598,465,122,261,554
113,8586,482,163,258,511
114,8574,492,166,228,540
115,8539,498,146,269,548
116,8496,503,128,283,590
117,8484,512,143,296,565
118,8472,518,173,298,539
119,8460,524,172,264,580
120,8390,535,155,298,622
121,8378,545,174,298,605
122,8366,551,165,315,603
123,8354,569,189,301,587
124,8307,585,184,264,660
125,8268,606,183,301,642
126,8256,621,165,298,660
127,8244,635,151,310,660
128,8196,659,179,311,655
129,8182,685,203,270,660
130,8142,698,202,296,662
131,8130,708,188,302,672
132,8081,722,172,323,702
133,8067,744,226,331,632
134,8053,763,210,314,660
135,8012,776,209,344,659
136,7962,788,175,351,724
137,7948,807,191,355,699
138,7934,830,232,331,673
139,7920,847,227,301,705
140,7839,857,216,323,765
141,7825,873,223,336,743
142,7811,883,219,353,734
143,7797,899,237,357,710
144,7743,913,233,325,786
145,7698,936,247,363,756
146,7684,946,255,359,756
147,7670,959,251,367,753
148,7615,976,263,379,767
149,7599,1001,301,331,768
150,7553,1022,280,385,760
151,7539,1032,250,390,789
152,7483,1045,229,398,845
153,7467,1079,280,398,776
154,7451,1097,275,368,809
155,7404,1109,262,399,826
156,7347,1119,254,394,886
157,7331,1141,267,412,849
158,7315,1160,316,395,814
159,7299,1172,293,370,866
160,7207,1180,292,408,913
161,7191,1207,289,431,882
162,7175,1218,287,442,878
163,7159,1240,308,442,851
164,7098,1256,306,409,931
165,7047,1281,339,418,915
166,7031,1295,319,433,922
167,7015,1307,307,446,925
168,6953,1328,323,455,941
169,6935,1349,357,420,939
170,6883,1376,338,460,943
171,6867,1390,307,460,976
172,6804,1414,287,469,1026
173,6786,1454,333,476,951
174,6768,1478,362,420,972
175,6715,1496,353,442,994
176,6651,1521,330,445,1053
177,6633,1540,344,465,1018
178,6615,1558,381,472,974
179,6597,1569,392,439,1003
180,6494,1590,374,490,1052
181,6476,1611,400,485,1028
182,6458,1621,396,499,1026
183,6440,1643,422,513,982
184,6372,1663,408,475,1082
185,6315,1690,437,514,1044
186,6297,1710,418,526,1049
187,6279,1723,381,542,1075
188,6210,1741,407,527,1115
189,6190,1772,446,479,1113
190,6132,1793,439,526,1110
191,6114,1805,422,514,1145
192,6044,1820,397,536,1203
193,6024,1866,463,545,1102
194,6004,1895,458,492,1151
195,5945,1917,439,539,1160
196,5876,1947,412,539,1226
197,5856,1980,443,549,1172
198,5836,2021,468,546,1129
199,5816,2042,480,489,1173
200,5708,2073,470,526,1223
