currentTick,NO_CHANGE,DIE,QUARANTINE,RECOVER,NO_INFECTIOUS,SINFECTED 
0,9999,0,0,0,0,1
1,9997,0,0,0,2,1
2,9996,0,0,0,3,1
3,9995,0,0,0,4,1
4,9995,0,0,0,4,1
5,9994,0,0,0,3,3
6,9991,0,0,0,5,4
7,9989,0,0,0,6,5
8,9988,0,0,0,7,5
9,9986,0,0,0,8,6
10,9985,0,0,1,6,8
11,9982,0,0,1,7,10
12,9980,0,0,1,8,11
13,9977,0,0,1,9,13
14,9975,0,0,1,10,14
15,9972,0,0,3,10,15
16,9968,0,0,4,12,16
17,9964,0,0,5,13,18
18,9960,0,0,5,15,20
19,9957,0,0,6,15,22
20,9954,1,0,8,14,23
21,9949,2,0,9,15,25
22,9944,2,0,10,16,28
23,9938,2,0,12,19,29
24,9933,2,0,13,21,31
25,9928,3,0,15,21,33
26,9922,3,0,17,22,36
27,9916,3,0,20,22,39
28,9909,4,0,21,24,42
29,9903,5,0,23,25,44
30,9898,6,0,26,24,46
31,9890,7,0,29,26,48
32,9883,7,0,33,26,51
33,9878,7,0,36,25,54
34,9872,7,0,39,26,56
35,9867,7,0,44,23,59
36,9859,7,0,49,24,61
37,9852,7,0,55,26,60
38,9845,8,0,59,27,61
39,9839,9,0,63,28,61
40,9830,11,0,67,29,63
41,9821,12,0,72,31,64
42,9811,12,0,79,34,64
43,9808,12,0,85,31,64
44,9797,14,0,88,33,68
45,9788,16,0,94,33,69
46,9778,17,0,100,33,72
47,9767,17,0,105,41,70
48,9756,17,0,111,41,75
49,9745,17,0,116,43,79
50,9738,18,0,123,40,81
51,9717,19,0,136,39,89
52,9695,20,0,150,43,92
53,9676,21,0,168,41,94
54,9648,21,0,182,47,102
55,9628,26,0,196,48,102
56,9601,31,0,213,47,108
57,9580,37,0,225,48,110
58,9550,40,0,243,51,116
59,9522,45,0,260,58,115
60,9501,52,0,272,49,126
61,9469,60,0,292,53,126
62,9439,63,0,309,62,127
63,9413,67,0,332,56,132
64,9377,70,0,350,62,141
65,9350,74,0,376,63,137
66,9315,77,0,401,62,145
67,9287,82,0,417,63,151
68,9256,91,0,440,59,154
69,9218,96,0,465,69,152
70,9192,101,0,486,64,157
71,9151,110,0,513,67,159
72,9121,117,0,533,71,158
73,9075,128,0,557,76,164
74,9040,137,0,576,81,166
75,9000,146,0,598,75,181
76,8960,157,0,625,80,178
77,8920,166,0,642,80,192
78,8878,174,0,675,82,191
79,8834,178,0,701,86,201
80,8799,187,0,738,79,197
81,8754,194,0,766,80,206
82,8714,199,0,801,85,201
83,8674,206,0,834,80,206
84,8627,211,0,869,87,206
85,8585,217,0,905,89,204
86,8531,223,0,943,96,207
87,8490,227,0,974,95,214
88,8440,237,0,1009,91,223
89,8387,243,0,1043,103,224
90,8341,248,0,1078,99,234
91,8286,255,0,1118,101,240
92,8237,266,0,1149,104,244
93,8189,278,0,1191,97,245
94,8128,286,0,1224,109,253
95,8078,297,0,1263,111,251
96,8018,306,0,1307,110,259
97,7962,314,0,1345,116,263
98,7909,325,0,1389,109,268
99,7859,332,0,1431,103,275
100,7803,344,0,1467,106,280
101,7742,353,41,1510,117,237
102,7684,358,48,1540,119,251
103,7628,365,58,1578,114,257
104,7565,376,86,1609,119,245
105,7512,388,107,1640,116,237
106,7447,397,120,1662,118,256
107,7383,405,135,1689,129,259
108,7322,417,160,1720,125,256
109,7256,427,179,1754,127,257
110,7194,434,191,1778,128,275
111,7121,449,219,1814,135,262
112,7058,459,237,1843,136,267
113,6989,469,255,1873,132,282
114,6921,479,272,1902,137,289
115,6851,492,292,1934,138,293
116,6776,505,323,1967,145,284
117,6717,518,344,1994,134,293
118,6653,527,362,2032,123,303
119,6579,533,373,2064,138,313
120,6517,546,394,2102,136,305
121,6445,558,418,2146,134,299
